ID,Age,City,Economic Status,Profession,Most Used Pokemon Type,Average Pokemon Level,Criminal Record,PokéBall Usage,Win Ratio,Number of Gym Badges,Is Pokemon Champion,Battle Strategy,Number of Migrations,Rare Item Holder,Debt to Kanto,Charity Participation,Team Rocket
0,27,Pewter City,Middle,Fisherman,Rock,50,0,DuskBall,51,1,False,Unpredictable,25,False,24511,True,No
1,55,Viridian City,Middle,PokéMart Seller,Grass,35,1,HealBall,53,2,False,Unpredictable,19,False,177516,True,Yes
2,14,Pallet Town,High,Police Officer,Poison,96,0,NetBall,76,5,False,Aggressive,18,False,85695,True,No
3,41,Cerulean City,Middle,Gym Leader Assistant,Dragon,23,0,UltraBall,27,0,False,Defensive,10,False,39739,True,No
4,15,Pallet Town,Middle,Gym Leader Assistant,Ground,16,1,HealBall,51,1,False,Aggressive,17,True,126923,False,Yes
5,41,Lavender Town,High,Daycare Worker,Ground,87,0,TimerBall,53,2,False,Aggressive,18,True,309636,False,Yes
6,21,Celadon City,Low,PokéMart Seller,Ghost,58,0,MasterBall,52,0,False,Unpredictable,8,False,75034,True,No
7,25,Lavender Town,Middle,Gym Leader Assistant,Bug,84,0,LuxuryBall,35,0,False,Defensive,25,False,65407,True,No
8,40,Saffron City,Middle,Gym Leader Assistant,Fighting,73,0,DarkBall,44,0,False,Aggressive,6,False,33398,True,No
9,20,Cinnabar Island,Middle,PokéMart Seller,Electric,9,0,DarkBall,20,1,False,Defensive,2,False,67763,True,No
10,43,Fuchsia City,Middle,Casino Worker,Flying,98,0,PokéBall,55,2,False,Aggressive,5,False,26043,True,No
11,29,Vermilion City,Middle,Rocket Grunt,Ghost,8,0,HealBall,77,0,False,Aggressive,14,False,87632,True,No
12,11,Cerulean City,Middle,Breeder,Ice,95,0,TimerBall,34,4,False,Aggressive,3,False,19606,True,No
13,15,Viridian City,Middle,Fisherman,Psychic,70,0,DarkBall,23,6,False,Defensive,17,False,70065,True,No
14,40,Vermilion City,Low,Nurse,Rock,23,0,UltraBall,80,0,False,Defensive,2,False,55775,True,No
15,35,Cinnabar Island,Low,Researcher,Ghost,33,0,LuxuryBall,60,5,False,Unpredictable,25,False,72020,True,No
16,12,Fuchsia City,Low,Daycare Worker,Fire,81,0,DuskBall,54,1,False,Defensive,1,False,76539,True,No
17,49,Cerulean City,High,Police Officer,Fairy,96,0,MasterBall,37,0,False,Defensive,1,False,79776,True,No
18,70,Fuchsia City,Low,Elite Trainer,Water,84,0,DarkBall,52,1,False,Unpredictable,22,False,56099,True,No
19,48,Viridian City,Middle,Casino Worker,Water,80,0,UltraBall,52,1,False,Unpredictable,4,False,23026,True,No
20,54,Pewter City,Low,Scientist,Grass,35,1,HealBall,59,2,False,Unpredictable,12,True,196218,False,Yes
21,69,Cerulean City,Middle,Gym Leader Assistant,Fire,63,0,GreatBall,34,0,False,Unpredictable,25,False,7098,True,No
22,32,Vermilion City,Middle,Scientist,Poison,5,0,LuxuryBall,27,0,False,Defensive,12,False,82636,True,No
23,19,Celadon City,Middle,Daycare Worker,Poison,78,0,NetBall,71,3,False,Defensive,11,False,55895,True,No
24,21,Pewter City,Low,Black Market Dealer,Flying,58,0,GreatBall,66,4,False,Unpredictable,20,False,88542,True,No
25,17,Pewter City,Low,Black Market Dealer,Psychic,40,0,TimerBall,25,4,False,Unpredictable,3,False,46311,True,No
26,14,Cerulean City,Low,Rocket Grunt,Dark,7,0,NetBall,63,2,False,Defensive,2,False,98493,True,No
27,17,Celadon City,Low,Rocket Grunt,Grass,51,0,DuskBall,52,0,False,Defensive,9,False,65968,True,No
28,10,Cinnabar Island,Middle,Gym Leader Assistant,Fighting,16,0,GreatBall,28,6,False,Aggressive,25,False,11268,True,No
29,50,Pallet Town,Low,Daycare Worker,Psychic,27,0,UltraBall,36,2,False,Aggressive,17,False,31103,True,No
30,67,Vermilion City,Low,Rocket Grunt,Poison,16,0,UltraBall,40,1,True,Unpredictable,24,True,216017,False,Yes
31,26,Pewter City,Low,Daycare Worker,Flying,90,0,DarkBall,60,1,False,Aggressive,17,False,62709,True,No
32,38,Cinnabar Island,Low,Breeder,Steel,14,0,DuskBall,85,8,False,Unpredictable,15,False,94461,True,No
33,34,Viridian City,Low,Elite Trainer,Flying,38,0,NetBall,61,6,True,Defensive,22,True,340492,False,Yes
34,34,Fuchsia City,Middle,Champion,Water,83,0,DarkBall,23,4,False,Aggressive,13,False,88740,True,No
